"sp","lon","lat"
"Acianthera_sonderiana",-49.7158,-25.7697
"Acianthera_sonderiana",-48.933333,-25.333333
"Acianthera_sonderiana",-50.3828,-25.8742
"Acianthera_sonderiana",-49.31,-25.3247
"Acianthera_sonderiana",-48.5747,-25.8828
"Acianthera_sonderiana",-49.912969,-25.578059
"Acianthera_sonderiana",-51.4581,-25.3953
"Acianthera_sonderiana",-49.2731,-25.4278
"Acianthera_sonderiana",-50.58,-25.02
"Acianthera_sonderiana",-49.3317,-24.1125
"Acianthera_sonderiana",-45.4528,-22.4256
"Acianthera_sonderiana",-40.780556,-20.067222
"Acianthera_sonderiana",-48.6275,-27.6153
"Acianthera_sonderiana",-41.3664,-21.0642
"Acianthera_sonderiana",-49.331751,-25.409341
"Acianthera_sonderiana",-49.012214,-25.528984
"Acianthera_sonderiana",-49.81,-26.11
"Acianthera_sonderiana",-52.4161,-25.4078
"Acianthera_sonderiana",-50.8589,-25.0108
"Acianthera_sonderiana",-49.519503,-25.598863
"Acianthera_sonderiana",-50.0064,-25.4294
"Acianthera_sonderiana",-52.3425,-31.7719
"Acianthera_sonderiana",-49.219497,-25.435923
"Acianthera_sonderiana",-49.26025,-25.36165
"Acianthera_sonderiana",-52.408056,-24.258056
"Acianthera_sonderiana",-51.416667,-25.521863
"Acianthera_sonderiana",-49.635363,-25.453826
"Acianthera_sonderiana",-50.1619,-25.095
"Acianthera_sonderiana",-51.201667,-25.303056
"Acianthera_sonderiana",-49.277089,-25.661593
"Acianthera_sonderiana",-48.981299,-25.497056
"Acianthera_sonderiana",-50.431523,-25.907756
"Acianthera_sonderiana",-49.122083,-25.379722
"Acianthera_sonderiana",-42.5,-22.55
"Acianthera_sonderiana",-51.08,-26.24
"Acianthera_sonderiana",-49.156269,-25.404914
"Acianthera_sonderiana",-40.6,-19.935833
"Acianthera_sonderiana",-45.5914,-22.7394
"Acianthera_sonderiana",-49.0769,-25.3656
"Acianthera_sonderiana",-49.0553,-25.3056
"Acianthera_sonderiana",-49.347156,-25.588749
"Acianthera_sonderiana",-44.2833333,-23.1666667
"Acianthera_sonderiana",-46.7,-23.65
"Acianthera_sonderiana",-40.6592,-20.3633
"Acianthera_sonderiana",-50.709176,-24.13017
"Acianthera_sonderiana",-49.249458,-25.397537
"Acianthera_sonderiana",-44.9667,-22.3903
"Acianthera_sonderiana",-48.53,-24.18
"Acianthera_sonderiana",-48.8425,-24.5094
"Acianthera_sonderiana",-49.260727,-25.489984
"Acianthera_sonderiana",-50.1444,-26.3703
"Acianthera_sonderiana",-46.5503,-23.1169
"Acianthera_sonderiana",-49.26539,-25.38622
"Acianthera_sonderiana",-50.3222,-26.1064
"Acianthera_sonderiana",-48.82,-28.3414
"Acianthera_sonderiana",-51.563889,-25.064583
"Acianthera_sonderiana",-50.157705,-28.464002
"Acianthera_sonderiana",-51.133333,-23.933333
"Acianthera_sonderiana",-46.6361,-23.5475
"Acianthera_sonderiana",-50.39,-26.1772
"Acianthera_sonderiana",-50.0119,-24.7911
"Acianthera_sonderiana",-49.708611,-25.450528
"Acianthera_sonderiana",-50.591667,-24.35
