"sp","lon","lat"
"Rhipsalis_pachyptera",-45.618333,-23.692222
"Rhipsalis_pachyptera",-43.024444,-22.966944
"Rhipsalis_pachyptera",-42.8186,-22.9194
"Rhipsalis_pachyptera",-49.71,-24.25
"Rhipsalis_pachyptera",-40.0978,-19.1969
"Rhipsalis_pachyptera",-49.154444,-26.3
"Rhipsalis_pachyptera",-42.447294,-22.927622
"Rhipsalis_pachyptera",-48.5747,-25.8828
"Rhipsalis_pachyptera",-48.78,-28.08
"Rhipsalis_pachyptera",-49.52,-27.06
"Rhipsalis_pachyptera",-48.5592,-27.3147
"Rhipsalis_pachyptera",-42.7386111,-22.4183334
"Rhipsalis_pachyptera",-48.68944,-27.54028
"Rhipsalis_pachyptera",-49.7705556,-27.0902777
"Rhipsalis_pachyptera",-41.5264,-20.4958
"Rhipsalis_pachyptera",-48.8344,-25.4769
"Rhipsalis_pachyptera",-49.2833,-26.9667
"Rhipsalis_pachyptera",-49.04778,-26.1925
"Rhipsalis_pachyptera",-48.93,-26.72
"Rhipsalis_pachyptera",-42.166667,-22.833333
"Rhipsalis_pachyptera",-49.499444,-28.710833
"Rhipsalis_pachyptera",-43.1288889,-22.58
"Rhipsalis_pachyptera",-49.32056,-27
"Rhipsalis_pachyptera",-48.800209,-25.378213
"Rhipsalis_pachyptera",-50.3555555,-26.9527778
"Rhipsalis_pachyptera",-48.870414,-25.596849
"Rhipsalis_pachyptera",-43.2666667,-22.55
"Rhipsalis_pachyptera",-42.0166667,-22.5
"Rhipsalis_pachyptera",-44.9597,-23.0744
"Rhipsalis_pachyptera",-39.0753,-15.2933
"Rhipsalis_pachyptera",-47.926389,-25.092639
"Rhipsalis_pachyptera",-42.8333333,-22.4333333
"Rhipsalis_pachyptera",-43.5828,-22.4742
"Rhipsalis_pachyptera",-43.9669445,-23.0636111
"Rhipsalis_pachyptera",-43.1786,-22.505
"Rhipsalis_pachyptera",-48.6161,-26.1169
"Rhipsalis_pachyptera",-48.7401,-25.4311
"Rhipsalis_pachyptera",-41.0836111,-20.5161111
"Rhipsalis_pachyptera",-42.99972222,-22.47444444
"Rhipsalis_pachyptera",-49.083333,-27.048333
"Rhipsalis_pachyptera",-42.987009,-22.449717
"Rhipsalis_pachyptera",-49.116417,-26.903747
"Rhipsalis_pachyptera",-43.704397,-22.58579
"Rhipsalis_pachyptera",-48.0442,-24.1408
"Rhipsalis_pachyptera",-48.29724,-25.179626
"Rhipsalis_pachyptera",-48.391944,-24.646389
"Rhipsalis_pachyptera",-43.99639,-22.92278
"Rhipsalis_pachyptera",-49.317911,-28.30578
"Rhipsalis_pachyptera",-43.3938889,-22.5755556
"Rhipsalis_pachyptera",-48.3289,-25.3067
"Rhipsalis_pachyptera",-48.896667,-27.100833
"Rhipsalis_pachyptera",-44.7131,-23.2178
"Rhipsalis_pachyptera",-48.083333,-24.233333
"Rhipsalis_pachyptera",-47.966667,-24.133333
"Rhipsalis_pachyptera",-49.350644,-26.418394
"Rhipsalis_pachyptera",-48.66,-26.91
"Rhipsalis_pachyptera",-48.67,-27.65
"Rhipsalis_pachyptera",-42.8780556,-22.6505556
"Rhipsalis_pachyptera",-49.96,-29.1405556
